data_type,timestamp,EEG1,EEG2,EEG3,EEG4
beta_absolute,1592897219449214,0.5655759937001541,0.08964445177830674,0.0,0.29611205026426096
theta_absolute,1592897219449876,0.770033248540608,0.29685672285573733,0.0,0.5419696859254707
alpha_relative,1592897219450414,0.13759930553247687,0.1892651301642999,NaN,0.28113896446899417
beta_relative,1592897219451235,0.13700183375597164,0.06843728680793136,NaN,0.10686726483449456
theta_relative,1592897219452078,0.2193732326669712,0.11028210693975811,NaN,0.18823584582871153
isGood,1592897219452912,1.0,1.0,0.0,0.0
quality,1592897219453176,1.0,1.0,4.0,1.0
alpha_absolute,1592897219560774,0.5705370085802373,0.553520318128956,0.0,0.6739500784584435
beta_absolute,1592897219563124,0.5627176000514981,0.14347043982760135,0.0,0.2700277286104581
theta_absolute,1592897219565477,0.7463387390239036,0.30231700147062707,0.0,0.4671594842559105
alpha_relative,1592897219567810,0.1342314295068615,0.1718142651543799,NaN,0.2781706792175935
beta_relative,1592897219570215,0.13183623950876236,0.06683582922789481,NaN,0.10974607605500888
theta_relative,1592897219571597,0.2012129580476949,0.09635092809480464,NaN,0.17279085624757612
isGood,1592897219573209,1.0,1.0,0.0,0.0
quality,1592897219573831,1.0,1.0,4.0,1.0
alpha_absolute,1592897219658194,0.600185082473523,0.5707883954525856,0.0,0.5400481152001454
beta_absolute,1592897219659275,0.5585055024360323,0.1636332301281637,0.0,0.23944557682216952
theta_absolute,1592897219659956,0.7102169922559745,0.2835813473341421,0.0,0.3691016769335498
alpha_relative,1592897219660527,0.13961355003072837,0.16711151427859527,NaN,0.23642974136056139
beta_relative,1592897219661394,0.1268375925398526,0.06544119319384203,NaN,0.11833128174740469
theta_relative,1592897219662253,0.17987030872088855,0.08625798851978371,NaN,0.15949815689539112
isGood,1592897219663162,1.0,1.0,0.0,0.0
quality,1592897219663432,1.0,1.0,2.0,1.0
alpha_absolute,1592897219715257,0.642631042529506,0.577623408473425,0.0,0.30570436107684024
beta_absolute,1592897219716269,0.5552259009304757,0.1601241559776697,0.0,0.21607519816353674
theta_absolute,1592897219717277,0.6764569312143482,0.2542419187546289,0.0,0.28426904545649284
alpha_relative,1592897219717756,0.14852713412409738,0.16962353528589105,NaN,0.1588575052571238
